doi_norm;inst_full_oa;institution_ror;affiliation_name;oa_full_norm;dc_aff_norm;auto_match;manual_match
10.18419/darus-4117/1;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.18419/darus-4117/10;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
10.18419/darus-4117/10;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.18419/darus-4117/11;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
10.18419/darus-4117/11;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.18419/darus-4117/12;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
10.18419/darus-4117/12;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.18419/darus-4117/13;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
10.18419/darus-4117/13;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.18419/darus-4117/14;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
10.18419/darus-4117/14;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.18419/darus-4117/15;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
10.18419/darus-4117/15;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.18419/darus-4117/16;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
10.18419/darus-4117/16;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.18419/darus-4117/2;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
10.18419/darus-4117/2;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.18419/darus-4117/3;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
10.18419/darus-4117/3;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.18419/darus-4117/4;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
10.18419/darus-4117/4;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.18419/darus-4117/5;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
10.18419/darus-4117/5;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.18419/darus-4117/6;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
10.18419/darus-4117/6;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.18419/darus-4117/7;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
10.18419/darus-4117/7;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.18419/darus-4117/8;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
10.18419/darus-4117/8;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.18419/darus-4117/9;Czech Technical University in Prague;https://ror.org/03kqpb082;Czech Technical University in Prague;czechtechnical university in prague;czechtechnical university in prague;auto_substring;
10.18419/darus-4117/9;Czech University of Life Sciences Prague;https://ror.org/0415vcw02;Czech Technical University in Prague;czechuniversity of life sciences prague;czechtechnical university in prague;;match
10.21227/13px-av58;Charles University;https://ror.org/024d6js02;Charles University in Prague, 1st Faculty of Medicine and Motol University Hospital, Prague, Czech Republic;charlesuniversity;charlesuniversity in prague, 1st faculty of medicine and motol university hospital, prague, czech republic;auto_substring;
10.21227/13px-av58;University Hospital in Motol;https://ror.org/0125yxn03;Charles University in Prague, 1st Faculty of Medicine and Motol University Hospital, Prague, Czech Republic;universityhospital in motol;charlesuniversity in prague, 1st faculty of medicine and motol university hospital, prague, czech republic;;match?
10.24435/materialscloud:36-d3;Palacký University, Olomouc;https://ror.org/04qxnmv42;Regional Centre of Advanced Technologies and Materials, Palacký University Olomouc, CZ-771 46 Olomouc, Czech Republic;palackyuniversity, olomouc;regionalcentre of advanced technologies and materials, palacky university olomouc, cz-771 46 olomouc, czech republic;;match
10.24435/materialscloud:36-d3;Regional Centre of Advanced Technologies and Materials;https://ror.org/02mt5f456;Regional Centre of Advanced Technologies and Materials, Palacký University Olomouc, CZ-771 46 Olomouc, Czech Republic;regionalcentre of advanced technologies and materials;regionalcentre of advanced technologies and materials, palacky university olomouc, cz-771 46 olomouc, czech republic;auto_substring;
10.25345/c5jm23t3w;Biology Centre;https://ror.org/05pq4yn02;"Czech Academy of Sciences, Biology Centre, Institute of Plant Molecular Biology, Branisovska 1760, 370 05 Ceske Budejovice, Czech Republic; Institute of Chemistry, Faculty of Science, University of South Bohemia, Branisovska 1760, 370 05 Ceske Budejovice, Czech Republic";biologycentre;"czechacademy of sciences, biology centre, institute of plant molecular biology, branisovska 1760, 370 05 ceske budejovice, czech republic; institute of chemistry, faculty of science, university of south bohemia, branisovska 1760, 370 05 ceske budejovice, czech republic";;match
10.25345/c5jm23t3w;Czech Academy of Sciences;https://ror.org/053avzc18;"Czech Academy of Sciences, Biology Centre, Institute of Plant Molecular Biology, Branisovska 1760, 370 05 Ceske Budejovice, Czech Republic; Institute of Chemistry, Faculty of Science, University of South Bohemia, Branisovska 1760, 370 05 Ceske Budejovice, Czech Republic";czechacademy of sciences;"czechacademy of sciences, biology centre, institute of plant molecular biology, branisovska 1760, 370 05 ceske budejovice, czech republic; institute of chemistry, faculty of science, university of south bohemia, branisovska 1760, 370 05 ceske budejovice, czech republic";auto_substring;
10.25345/c5jm23t3w;University of South Bohemia in České Budějovice;https://ror.org/033n3pw66;"Czech Academy of Sciences, Biology Centre, Institute of Plant Molecular Biology, Branisovska 1760, 370 05 Ceske Budejovice, Czech Republic; Institute of Chemistry, Faculty of Science, University of South Bohemia, Branisovska 1760, 370 05 Ceske Budejovice, Czech Republic";universityof south bohemia in ceske budejovice;"czechacademy of sciences, biology centre, institute of plant molecular biology, branisovska 1760, 370 05 ceske budejovice, czech republic; institute of chemistry, faculty of science, university of south bohemia, branisovska 1760, 370 05 ceske budejovice, czech republic";;match
10.25345/c5x05xp4v;Institute of Microbiology;https://ror.org/02p1jz666;"Institute of Microbiology of the Czech Academy of Sciences, Centre Algatech, Trebon, 379 01; Faculty of Science, University of South Bohemia, Ceske Budejovice, 370 05";instituteof microbiology;"instituteof microbiology of the czech academy of sciences, centre algatech, trebon, 379 01; faculty of science, university of south bohemia, ceske budejovice, 370 05";auto_substring;
10.25345/c5x05xp4v;University of South Bohemia in České Budějovice;https://ror.org/033n3pw66;"Institute of Microbiology of the Czech Academy of Sciences, Centre Algatech, Trebon, 379 01; Faculty of Science, University of South Bohemia, Ceske Budejovice, 370 05";universityof south bohemia in ceske budejovice;"instituteof microbiology of the czech academy of sciences, centre algatech, trebon, 379 01; faculty of science, university of south bohemia, ceske budejovice, 370 05";;match
10.5061/dryad.8pk0p2npt;Institute of Botany;https://ror.org/03qqnc658;"University of South Bohemia in České Budějovice; Institute of Botany of the Czech Academy of Sciences";instituteof botany;"universityof south bohemia in ceske budejovice; institute of botany of the czech academy of sciences";;match
10.5061/dryad.8pk0p2npt;University of South Bohemia in České Budějovice;https://ror.org/033n3pw66;"University of South Bohemia in České Budějovice; Institute of Botany of the Czech Academy of Sciences";universityof south bohemia in ceske budejovice;"universityof south bohemia in ceske budejovice; institute of botany of the czech academy of sciences";auto_substring;
10.5061/dryad.pg4f4qrqn;Global Change Research Centre;https://ror.org/01v5hek98;Palacký University Olomouc, Global Change Research Institute of the Czech Academy of Sciences;globalchange research centre;palackyuniversity olomouc, global change research institute of the czech academy of sciences;;match?
10.5061/dryad.pg4f4qrqn;Palacký University, Olomouc;https://ror.org/04qxnmv42;Palacký University Olomouc, Global Change Research Institute of the Czech Academy of Sciences;palackyuniversity, olomouc;palackyuniversity olomouc, global change research institute of the czech academy of sciences;;match
10.5281/zenodo.10002180;Masaryk University;https://ror.org/02j46qs45;Department of Radiology and Nuclear Medicine, University Hospital Brno and Masaryk University, Brno, Czechia;masarykuniversity;departmentof radiology and nuclear medicine, university hospital brno and masaryk university, brno, czechia;;match
10.5281/zenodo.10002180;Masaryk University;https://ror.org/02j46qs45;Department of Radiology and Nuclear Medicine, University Hospital Brno and Masaryk University, Brno, Czechia;masarykuniversity;departmentof radiology and nuclear medicine, university hospital brno and masaryk university, brno, czechia;;match
10.5281/zenodo.10002180;University Hospital Brno;https://ror.org/00qq1fp34;Department of Radiology and Nuclear Medicine, University Hospital Brno and Masaryk University, Brno, Czechia;universityhospital brno;departmentof radiology and nuclear medicine, university hospital brno and masaryk university, brno, czechia;;match?
10.5281/zenodo.10002180;University Hospital Brno;https://ror.org/00qq1fp34;Department of Radiology and Nuclear Medicine, University Hospital Brno and Masaryk University, Brno, Czechia;universityhospital brno;departmentof radiology and nuclear medicine, university hospital brno and masaryk university, brno, czechia;;match?
10.5281/zenodo.10155250;Charles University;https://ror.org/024d6js02;1 Department of Gynecology, Obstetrics and Neonatology, First Faculty of Medicine, Charles University and General University Hospital in Prague, Czech Republic;charlesuniversity;1department of gynecology, obstetrics and neonatology, first faculty of medicine, charles university and general university hospital in prague, czech republic;;match?
10.5281/zenodo.10155250;General University Hospital in Prague;https://ror.org/04yg23125;1 Department of Gynecology, Obstetrics and Neonatology, First Faculty of Medicine, Charles University and General University Hospital in Prague, Czech Republic;generaluniversity hospital in prague;1department of gynecology, obstetrics and neonatology, first faculty of medicine, charles university and general university hospital in prague, czech republic;;match?
10.5281/zenodo.10276473;Masaryk University;https://ror.org/02j46qs45;Department of Paediatric Oncology, University Hospital Brno, Masaryk University, Brno, Czech Republic;masarykuniversity;departmentof paediatric oncology, university hospital brno, masaryk university, brno, czech republic;;match
10.5281/zenodo.10276473;University Hospital Brno;https://ror.org/00qq1fp34;Department of Paediatric Oncology, University Hospital Brno, Masaryk University, Brno, Czech Republic;universityhospital brno;departmentof paediatric oncology, university hospital brno, masaryk university, brno, czech republic;;match?
10.5281/zenodo.10276473;St. Anne´s University Hospital;https://ror.org/049bjee35;International Clinical Research Center, St. Anne's University Hospital Brno, Brno, Czech Republic;stanne´s university hospital;internationalclinical research center, st. anne's university hospital brno, brno, czech republic;;match
10.5281/zenodo.10276473;University Hospital Brno;https://ror.org/00qq1fp34;International Clinical Research Center, St. Anne's University Hospital Brno, Brno, Czech Republic;universityhospital brno;internationalclinical research center, st. anne's university hospital brno, brno, czech republic;;match?
10.5281/zenodo.10794134;Brno University of Technology;https://ror.org/03613d656;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 61200 Brno, Czech Republic;brnouniversity of technology;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 61200 brno, czech republic;;match?
10.5281/zenodo.10794134;Brno University of Technology;https://ror.org/03613d656;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 61200 Brno, Czech Republic;brnouniversity of technology;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 61200 brno, czech republic;;match?
10.5281/zenodo.10794134;Brno University of Technology;https://ror.org/03613d656;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 61200 Brno, Czech Republic;brnouniversity of technology;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 61200 brno, czech republic;;match?
10.5281/zenodo.10794134;Brno University of Technology;https://ror.org/03613d656;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 61200 Brno, Czech Republic;brnouniversity of technology;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 61200 brno, czech republic;;match?
10.5281/zenodo.10794134;Brno University of Technology;https://ror.org/03613d656;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 61200 Brno, Czech Republic;brnouniversity of technology;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 61200 brno, czech republic;;match?
10.5281/zenodo.10794134;Central European Institute of Technology;https://ror.org/01p7k1986;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 61200 Brno, Czech Republic;centraleuropean institute of technology;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 61200 brno, czech republic;auto_substring;
10.5281/zenodo.10794134;Central European Institute of Technology;https://ror.org/01p7k1986;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 61200 Brno, Czech Republic;centraleuropean institute of technology;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 61200 brno, czech republic;auto_substring;
10.5281/zenodo.10794134;Central European Institute of Technology;https://ror.org/01p7k1986;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 61200 Brno, Czech Republic;centraleuropean institute of technology;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 61200 brno, czech republic;auto_substring;
10.5281/zenodo.10794134;Central European Institute of Technology;https://ror.org/01p7k1986;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 61200 Brno, Czech Republic;centraleuropean institute of technology;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 61200 brno, czech republic;auto_substring;
10.5281/zenodo.10794134;Central European Institute of Technology;https://ror.org/01p7k1986;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 61200 Brno, Czech Republic;centraleuropean institute of technology;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 61200 brno, czech republic;auto_substring;
10.5281/zenodo.10794134;Institute of Scientific Instruments;https://ror.org/027taah18;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 61200 Brno, Czech Republic;instituteof scientific instruments;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 61200 brno, czech republic;;match
10.5281/zenodo.10794134;Institute of Scientific Instruments;https://ror.org/027taah18;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 61200 Brno, Czech Republic;instituteof scientific instruments;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 61200 brno, czech republic;;match
10.5281/zenodo.10794134;Institute of Scientific Instruments;https://ror.org/027taah18;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 61200 Brno, Czech Republic;instituteof scientific instruments;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 61200 brno, czech republic;;match
10.5281/zenodo.10794134;Institute of Scientific Instruments;https://ror.org/027taah18;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 61200 Brno, Czech Republic;instituteof scientific instruments;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 61200 brno, czech republic;;match
10.5281/zenodo.10794134;Institute of Scientific Instruments;https://ror.org/027taah18;Central European Institute of Technology, Brno University of Technology, Purkyňova 656/123, 61200 Brno, Czech Republic;instituteof scientific instruments;centraleuropean institute of technology, brno university of technology, purkynova 656/123, 61200 brno, czech republic;;match
10.5281/zenodo.10794134;Masaryk University;https://ror.org/02j46qs45;Department of Pediatric Otorhinolaryngology, University Hospital Brno and Faculty of Medicine, Masaryk University Brno, Brno, Czech Republic;masarykuniversity;departmentof pediatric otorhinolaryngology, university hospital brno and faculty of medicine, masaryk university brno, brno, czech republic;;match?
10.5281/zenodo.10794134;University Hospital Brno;https://ror.org/00qq1fp34;Department of Pediatric Otorhinolaryngology, University Hospital Brno and Faculty of Medicine, Masaryk University Brno, Brno, Czech Republic;universityhospital brno;departmentof pediatric otorhinolaryngology, university hospital brno and faculty of medicine, masaryk university brno, brno, czech republic;;match?
10.5281/zenodo.10949371;University Hospital Hradec Králové;https://ror.org/04wckhb82;Biomedical Research Center, University Hospital Hradec Kralove;universityhospital hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University Hospital Hradec Králové;https://ror.org/04wckhb82;Biomedical Research Center, University Hospital Hradec Kralove;universityhospital hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University Hospital Hradec Králové;https://ror.org/04wckhb82;Biomedical Research Center, University Hospital Hradec Kralove;universityhospital hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University Hospital Hradec Králové;https://ror.org/04wckhb82;Biomedical Research Center, University Hospital Hradec Kralove;universityhospital hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University Hospital Hradec Králové;https://ror.org/04wckhb82;Biomedical Research Center, University Hospital Hradec Kralove;universityhospital hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University Hospital Hradec Králové;https://ror.org/04wckhb82;Biomedical Research Center, University Hospital Hradec Kralove;universityhospital hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University Hospital Hradec Králové;https://ror.org/04wckhb82;Biomedical Research Center, University Hospital Hradec Kralove;universityhospital hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University Hospital Hradec Králové;https://ror.org/04wckhb82;Biomedical Research Center, University Hospital Hradec Kralove;universityhospital hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University Hospital Hradec Králové;https://ror.org/04wckhb82;Biomedical Research Center, University Hospital Hradec Kralove;universityhospital hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University of Hradec Králové;https://ror.org/05k238v14;Biomedical Research Center, University Hospital Hradec Kralove;universityof hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University of Hradec Králové;https://ror.org/05k238v14;Biomedical Research Center, University Hospital Hradec Kralove;universityof hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University of Hradec Králové;https://ror.org/05k238v14;Biomedical Research Center, University Hospital Hradec Kralove;universityof hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University of Hradec Králové;https://ror.org/05k238v14;Biomedical Research Center, University Hospital Hradec Kralove;universityof hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University of Hradec Králové;https://ror.org/05k238v14;Biomedical Research Center, University Hospital Hradec Kralove;universityof hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University of Hradec Králové;https://ror.org/05k238v14;Biomedical Research Center, University Hospital Hradec Kralove;universityof hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University of Hradec Králové;https://ror.org/05k238v14;Biomedical Research Center, University Hospital Hradec Kralove;universityof hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University of Hradec Králové;https://ror.org/05k238v14;Biomedical Research Center, University Hospital Hradec Kralove;universityof hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;University of Hradec Králové;https://ror.org/05k238v14;Biomedical Research Center, University Hospital Hradec Kralove;universityof hradec kralove;biomedicalresearch center, university hospital hradec kralove;;match
10.5281/zenodo.10949371;Charles University;https://ror.org/024d6js02;Faculty of Pharmacy in Hradec Kralove, Charles University;charlesuniversity;facultyof pharmacy in hradec kralove, charles university;;match
10.5281/zenodo.10949371;University of Hradec Králové;https://ror.org/05k238v14;Faculty of Pharmacy in Hradec Kralove, Charles University;universityof hradec kralove;facultyof pharmacy in hradec kralove, charles university;;match
10.5281/zenodo.11077988;Charles University;https://ror.org/024d6js02;Department of Ecology, Charles University, Prague, Czech Republic & Department of Zoology, Palacky University, Olomouc, Czech Republic;charlesuniversity;departmentof ecology, charles university, prague, czech republic & department of zoology, palacky university, olomouc, czech republic;;match?
10.5281/zenodo.11077988;Charles University;https://ror.org/024d6js02;Department of Ecology, Charles University, Prague, Czech Republic & Department of Zoology, Palacky University, Olomouc, Czech Republic;charlesuniversity;departmentof ecology, charles university, prague, czech republic & department of zoology, palacky university, olomouc, czech republic;;match?
10.5281/zenodo.11077988;Palacký University, Olomouc;https://ror.org/04qxnmv42;Department of Ecology, Charles University, Prague, Czech Republic & Department of Zoology, Palacky University, Olomouc, Czech Republic;palackyuniversity, olomouc;departmentof ecology, charles university, prague, czech republic & department of zoology, palacky university, olomouc, czech republic;;match
10.5281/zenodo.11077988;Palacký University, Olomouc;https://ror.org/04qxnmv42;Department of Ecology, Charles University, Prague, Czech Republic & Department of Zoology, Palacky University, Olomouc, Czech Republic;palackyuniversity, olomouc;departmentof ecology, charles university, prague, czech republic & department of zoology, palacky university, olomouc, czech republic;;match
10.5281/zenodo.11162289;South Bohemia research center of aquaculture and biodiversity of hydrocenoses;https://ror.org/050jqn596;University of South Bohemia in České Budějovice, Faculty of Fisheries and Protection of Waters, South Bohemian Research Center of Aquaculture and Biodiversity of Hydrocenoses (CENAKVA), Zátiší 728/II, CZ-389 25 Vodňany, Czech Republic,;southbohemia research center of aquaculture and biodiversity of hydrocenoses;universityof south bohemia in ceske budejovice, faculty of fisheries and protection of waters, south bohemian research center of aquaculture and biodiversity of hydrocenoses (cenakva), zatisi 728/ii, cz-389 25 vodnany, czech republic,;auto_substring;
10.5281/zenodo.11162289;University of South Bohemia in České Budějovice;https://ror.org/033n3pw66;University of South Bohemia in České Budějovice, Faculty of Fisheries and Protection of Waters, South Bohemian Research Center of Aquaculture and Biodiversity of Hydrocenoses (CENAKVA), Zátiší 728/II, CZ-389 25 Vodňany, Czech Republic,;universityof south bohemia in ceske budejovice;universityof south bohemia in ceske budejovice, faculty of fisheries and protection of waters, south bohemian research center of aquaculture and biodiversity of hydrocenoses (cenakva), zatisi 728/ii, cz-389 25 vodnany, czech republic,;auto_substring;
10.5281/zenodo.11518844;Centre for Nanomaterials and Biotechnology;https://ror.org/0545qzj69;Centre for Nanomaterials and Biotechnology, Faculty of Science, J. E. Purkyně University;centrefor nanomaterials and biotechnology;centrefor nanomaterials and biotechnology, faculty of science, j. e. purkyne university;auto_substring;
